"Player","Team","Position","Rk","Status","Opponent","Salary","Score","% Owned","+/-","GP","MIN","FGM","FGA","FG%","FTM","FTA","FT%","3PTM","REB","AST","ST","BLK","TO","PTS"
"Derrick Rose","DET","PG,SG,G,Flx","101","GREEK","","1.00","58.3","91%","-0.5%","19","23.7","6.4","13.2",".488","2.5","2.8",".870","0.7","2.1","5.8","0.8","0.4","2.5","16.1"
"Marcus Morris","NY","SF,PF,F,Flx","102","MARCO","@POR Tue 10:00PM","1.00","73.26","91%","-0.4%","21","32.7","6.0","14.2",".425","3.6","4.3",".844","2.9","5.8","1.3","0.9","0.6","1.8","18.6"
"Rui Hachimura","WAS","SF,PF,F,Flx","103","tRB","@CHA Tue 7:00PM","6.00","56.47","91%","-0.9%","22","29.6","6.0","12.4",".484","1.8","2.0",".889","0.4","5.8","1.7","0.8","0.1","0.9","14.2"
"Serge Ibaka","TOR","PF,F,C,Flx","104","GAV","","5.00","42.3","91%","-1.1%","13","22.3","5.0","10.9",".458","2.2","2.7",".829","0.9","7.0","1.2","0.5","0.8","2.2","13.2"
"Larry Nance Jr.","CLE","PF,F,C,Flx","105","Levine","","1.00","56.41","91%","-1.8%","21","25.9","3.8","7.5",".503","1.2","1.7",".714","1.2","7.3","1.5","0.9","0.5","1.0","9.9"
"Harrison Barnes","SAC","SF,PF,F,Flx","106","BoM","","1.00","68.74","90%","-1.1%","23","35.5","5.6","11.9",".471","3.9","4.8",".802","1.3","5.3","2.3","0.9","0.2","1.6","16.4"
"DeAndre Jordan","BKN","C,Flx","107","Tim","","13.00","52.6","90%","-0.9%","20","21.4","3.4","4.8",".705","1.4","2.1",".674","0.0","9.2","2.0","0.4","1.1","1.1","8.2"
"Luke Kennard","DET","SG,G,SF,F,Flx","108","GAV","","1.00","69.75","90%","-0.5%","23","32.8","5.6","12.4",".448","2.6","2.9",".896","2.6","3.4","4.2","0.5","0.2","1.4","16.3"
"Paul Millsap","DEN","PF,F,C,Flx","109","GAV","@PHI Tue 8:00PM","5.00","63.31","89%","-1.4%","21","25.6","4.4","9.3",".477","3.0","3.4",".875","1.2","5.9","1.3","0.8","0.8","1.2","13.0"
"Devonte Graham","CHA","PG,SG,G,Flx","110","GAV","WAS Tue 7:00PM","1.00","82.49","89%","+0.1%","25","33.6","6.1","15.2",".404","3.0","3.7",".806","3.6","3.8","7.8","0.7","0.2","3.1","18.8"
"Will Barton","DEN","SG,G,SF,F,Flx","111","Twats","@PHI Tue 8:00PM","1.00","62.34","89%","-1.2%","19","32.1","5.3","11.8",".449","1.6","2.3",".721","1.9","6.5","3.3","1.0","0.4","1.3","14.2"
"OG Anunoby","TOR","SF,PF,F,Flx","112","Twats","","8.00","63.11","89%","-1.1%","22","29.9","4.5","8.5",".521","0.7","1.3",".552","1.5","5.6","1.8","1.4","0.9","1.1","11.2"
"Dario Saric","PHO","PF,F,C,Flx","113","Tim","","5.00","66.16","88%","-1.5%","23","28.2","4.0","9.3",".435","1.5","1.8",".854","1.7","7.3","2.0","0.9","0.4","1.3","11.3"
"Derrick Favors","NO","PF,F,C,Flx","114","GREEK","","4.00","22.01","88%","-0.7%","9","21.0","4.0","6.4",".621","0.2","0.7",".333","0.1","8.9","2.1","0.6","0.4","1.6","8.3"
"JJ Redick","NO","SG,G,Flx","115","GREEK","","3.00","64.88","88%","-1.8%","23","28.4","4.6","10.7",".429","2.5","2.9",".866","3.3","3.1","2.0","0.4","0.2","1.3","15.0"
