"Player","Team","Position","Rk","Status","Opponent","Salary","Score","% Owned","+/-","GP","MIN","FGM","FGA","FG%","FTM","FTA","FT%","3PTM","REB","AST","ST","BLK","TO","PTS"
"Isaiah Briscoe","ORL","PG,G,Flx","564","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Omri Casspi","MEM","SF,PF,F,Flx","565","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Deyonta Davis","ATL","PF,F,Flx","566","FA","@MIA Tue 8:00PM","1.00","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daryl Macon","MIA","PG,G,Flx","567","FA","ATL Tue 8:00PM","1.00","1.67","0%","-0.1%","3","4.4","0.3","1.0",".333","0.0","0.0","0","0.3","0.0","0.3","0.0","0.0","0.7","1.0"
"Josh Magette","ORL","PG,G,Flx","568","FA","","1.00","3.01","0%","-0.1%","3","3.4","0.7","2.0",".333","0.3","0.7",".500","0.0","1.0","0.7","0.7","0.0","1.0","1.7"
"Malik Newman","MIA","PG,G,Flx","569","FA","ATL Tue 8:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kobi Simmons","CHA","SG,G,Flx","570","FA","WAS Tue 7:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dean Wade","CLE","PG,G,Flx","571","FA","","1.00","2.08","0%","0%","3","6.1","0.3","0.7",".500","0.0","0.0","0","0.3","0.7","0.0","0.3","0.0","0.0","1.0"
"Mamadou N'Diaye","(N/A)","C,Flx","572","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"David Michineau","LAC","PG,G,Flx","573","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lex Abrines","(N/A)","SG,G,SF,F,Flx","574","FA","","1.00","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Deng Adel","(N/A)","C,Flx","575","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rawle Alkins","(N/A)","SG,G,Flx","576","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dairis Bertans","(N/A)","SG,G,Flx","577","FA","","1.00","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Caroline","(N/A)","SF,F,Flx","578","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angel Delgado","(N/A)","C,Flx","579","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Dorsey","(N/A)","PG,G,Flx","580","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kosta Koufos","(N/A)","PF,F,C,Flx","581","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Vanja Marinkovic","(N/A)","SG,G,SF,F,Flx","582","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"J.R. Smith","(N/A)","SG,G,SF,F,Flx","583","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ekpe Udoh","(N/A)","PF,F,C,Flx","584","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Johnathan Williams","(N/A)","PF,F,Flx","585","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Troy Williams","(N/A)","SG,G,SF,F,Flx","586","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaiah Canaan","MIL","PG,G,Flx","587","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tony Carr","NO","PG,G,Flx","588","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alpha Kaba","ATL","PF,F,Flx","589","FA","@MIA Tue 8:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Adam Mokoka","CHI","SG,G,Flx","590","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cameron Oliver","POR","SF,F,Flx","591","FA","NY Tue 10:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Derrick Walton Jr.","LAC","PG,G,Flx","592","FA","","1.00","6.29","0%","0%","9","7.1","0.7","1.3",".500","0.3","0.3","1.000","0.3","0.4","0.6","0.2","0.0","0.1","2.0"
"Robert Carter Jr.","(N/A)","PF,F,Flx","593","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jonathan Jeanne","(N/A)","C,Flx","594","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Borisa Simanic","(N/A)","PF,F,Flx","595","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ray Smith","(N/A)","SF,F,Flx","596","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Scott Suggs","TOR","SG,G,Flx","597","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cole Aldrich","(N/A)","C,Flx","598","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Augustine","(N/A)","SF,PF,F,C,Flx","599","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jerryd Bayless","(N/A)","PG,SG,G,Flx","600","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Javon Bess","(N/A)","SG,G,Flx","601","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Devontae Cacok","(N/A)","PF,F,Flx","602","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sam Dekker","(N/A)","SF,PF,F,Flx","603","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luol Deng","(N/A)","SF,PF,F,Flx","604","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andrew Harrison","(N/A)","PG,SG,G,Flx","605","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Amir Johnson","(N/A)","PF,F,C,Flx","606","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon McCoy","(N/A)","C,Flx","607","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Zeller","(N/A)","PF,F,C,Flx","608","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jaylen Barford","CHA","PG,G,Flx","609","FA","WAS Tue 7:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Justin Bibbs","LAC","SG,G,Flx","610","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oshae Brissett","TOR","PF,F,Flx","611","FA","","1.00","2.31","0%","0%","4","4.3","0.3","0.8",".333","0.0","0.0","0","0.3","0.3","0.3","0.3","0.0","0.3","0.8"
"Cody Demps","SAC","SG,G,Flx","612","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kay Felder","TOR","PG,G,Flx","613","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wesley Johnson","WAS","SG,G,SF,F,Flx","614","FA","@CHA Tue 7:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gary Payton II","WAS","SG,G,Flx","615","FA","@CHA Tue 7:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zhou Qi","HOU","PF,F,Flx","616","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"KT Harrell","(N/A)","SG,G,Flx","617","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michalis Kamperidis","(N/A)","SF,F,Flx","618","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bobby Ray Parks Jr.","(N/A)","SG,G,Flx","619","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Malik Pope","(N/A)","SF,F,Flx","620","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nik Slavica","(N/A)","SF,F,Flx","621","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jarvis Threatt","(N/A)","PG,G,Flx","622","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Byron Wesley","(N/A)","SG,G,Flx","623","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Adams","(N/A)","SG,G,Flx","624","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Maurice Ager","(N/A)","SG,G,SF,F,Flx","625","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alexis Ajinca","(N/A)","PF,F,C,Flx","626","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Deji Akindele","(N/A)","C,Flx","627","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cliff Alexander","(N/A)","PF,F,Flx","628","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bryce Alford","(N/A)","PG,G,Flx","629","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tony Allen","(N/A)","SG,G,SF,F,Flx","630","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Louis Amundson","(N/A)","PF,F,Flx","631","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gilbert Arenas","(N/A)","PG,G,Flx","632","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hilton Armstrong","(N/A)","PF,F,C,Flx","633","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cyril Awere","(N/A)","C,Flx","634","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andrea Bargnani","(N/A)","PF,F,C,Flx","635","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Esteban Batista","(N/A)","C,Flx","636","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mike Bibby","(N/A)","PG,G,Flx","637","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andris Biedrins","(N/A)","C,Flx","638","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyrell Biggs","(N/A)","SF,PF,F,Flx","639","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marqus Blakely","(N/A)","SF,F,Flx","640","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Keljin Blevins","(N/A)","PG,G,Flx","641","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Corey Brewer","(N/A)","SG,G,SF,F,Flx","642","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Barry Brown Jr.","(N/A)","PG,G,Flx","643","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Troy Caupain","(N/A)","SG,G,Flx","644","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Cavanaugh","(N/A)","PF,F,C,Flx","645","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bonzie Colson","(N/A)","SF,F,Flx","646","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaiah Cousins","(N/A)","SG,G,Flx","647","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Raymond Felton","(N/A)","PG,SG,G,Flx","648","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jalen Jones","(N/A)","SG,G,SF,F,Flx","649","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sagaba Konate","(N/A)","SF,F,Flx","650","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Loyd","(N/A)","PG,G,Flx","651","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luke Maye","(N/A)","PF,F,Flx","652","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Salah Mejri","(N/A)","C,Flx","653","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Miles Plumlee","(N/A)","PF,F,C,Flx","654","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Quincy Pondexter","(N/A)","SG,G,SF,F,Flx","655","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Sampson","(N/A)","PG,G,Flx","656","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simi Shittu","(N/A)","C,Flx","657","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Justin Simon","(N/A)","SG,G,Flx","658","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaiah Taylor","(N/A)","PG,G,Flx","659","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lance Thomas","(N/A)","SG,G,SF,F,Flx","660","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Thomas Welsh","(N/A)","C,Flx","661","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alan Williams","(N/A)","PF,F,C,Flx","662","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C.J. Williams","(N/A)","SG,G,Flx","663","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kenny Wooten","(N/A)","PF,F,Flx","664","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Furkan Aldemir","PHI","PF,F,Flx","665","FA","DEN Tue 8:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Darrell Arthur","PHO","PF,F,C,Flx","666","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jamel Artis","SAC","SF,F,Flx","667","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cameron Bairstow","DET","PF,F,C,Flx","668","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ron Baker","WAS","PG,SG,G,Flx","669","FA","@CHA Tue 7:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Renaldo Balkman","DAL","SF,PF,F,Flx","670","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jerrelle Benimon","UTA","PF,F,Flx","671","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ben Bentil","DAL","SF,PF,F,Flx","672","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sim Bhullar","SAC","C,Flx","673","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jabari Bird","ATL","SG,G,Flx","674","FA","@MIA Tue 8:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joel Bolomboy","MIL","PF,F,Flx","675","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gian Clavell","DAL","PG,G,Flx","676","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Amir Coffey","LAC","SF,F,Flx","677","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Davis","OKC","C,Flx","678","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Robert Franks","CHA","SF,F,Flx","679","FA","WAS Tue 7:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tiny Gallon","MIL","PF,F,Flx","680","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Goodwin","ATL","PG,G,Flx","681","FA","@MIA Tue 8:00PM","1.00","1.17","0%","0%","2","2.7","0.0","0.5",".000","0.0","0.0","0","0.0","0.0","0.0","0.0","0.0","1.0","0.0"
"Olivier Hanlan","SA","PG,G,Flx","682","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Udonis Haslem","MIA","PF,F,Flx","683","FA","ATL Tue 8:00PM","1.00","2.88","0%","-0.1%","2","5.4","0.5","0.5","1.000","1.5","2.0",".750","0.0","1.5","0.0","0.0","0.0","0.0","2.5"
"Mike James","NO","PG,G,Flx","684","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brice Johnson","MEM","PF,F,Flx","685","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luc Richard Mbah a Moute","LAC","SF,PF,F,Flx","686","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Billy Preston","CLE","SF,PF,F,Flx","687","FA","","1.00","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nikola Radicevic","DEN","PG,G,Flx","688","FA","@PHI Tue 8:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Xavier Rathan-Mayes","MEM","PG,G,Flx","689","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Willie Reed","CHI","PF,F,C,Flx","690","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cameron Reynolds","MIL","SF,F,Flx","691","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Malachi Richardson","PHI","SG,G,Flx","692","FA","DEN Tue 8:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Max Strus","CHI","SG,G,Flx","693","FA","","1.00","2.11","0%","0%","2","3.1","1.0","1.5",".667","0.5","0.5","1.000","0.0","0.5","0.0","0.0","0.0","0.0","2.5"
"Jameel Warney","DAL","SF,F,Flx","694","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Julian Washburn","GS","SF,F,Flx","695","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jamil Wilson","LAC","PF,F,Flx","696","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Derrick Marks","(N/A)","SG,G,Flx","697","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeff Adrien","(N/A)","SF,PF,F,Flx","698","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Josh Akognon","(N/A)","PG,SG,G,Flx","699","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DeVaughn Akoon-Purcell","(N/A)","PG,G,Flx","700","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joe Alexander","(N/A)","SF,F,Flx","701","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lavoy Allen","(N/A)","PF,F,C,Flx","702","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marcus Allen","(N/A)","PG,G,Flx","703","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ryan Allen","(N/A)","PG,SG,G,Flx","704","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alan Anderson","(N/A)","SG,G,SF,F,Flx","705","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jake Anderson","(N/A)","PG,G,Flx","706","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andrew Andrews","(N/A)","PG,G,Flx","707","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joel Anthony","(N/A)","PF,F,C,Flx","708","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pero Antic","(N/A)","C,Flx","709","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Keith Appling","(N/A)","PG,G,Flx","710","FA","","1.00","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Ashley","(N/A)","PF,F,Flx","711","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Connor Atchley","(N/A)","PF,F,C,Flx","712","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chucky Atkins","(N/A)","PG,G,Flx","713","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eric Atkins","(N/A)","PG,G,Flx","714","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zach Auguste","(N/A)","PF,F,Flx","715","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"J.J. Avila","(N/A)","SF,F,Flx","716","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gustavo Ayon","(N/A)","PF,F,C,Flx","717","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeff Ayres","(N/A)","PF,F,C,Flx","718","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Bachynski","(N/A)","C,Flx","719","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gracin Bakumanya","(N/A)","C,Flx","720","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anthony Barber","(N/A)","PG,G,Flx","721","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leandro Barbosa","(N/A)","PG,SG,G,Flx","722","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kadeem Batts","(N/A)","PF,F,Flx","723","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"V.J. Beachem","(N/A)","SF,F,Flx","724","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anthony Bennett","(N/A)","SF,PF,F,Flx","725","FA","","1.00","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tarik Black","(N/A)","PF,F,C,Flx","726","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Blackmon Jr.","(N/A)","SG,G,Flx","727","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Vander Blue","LAL","PG,G,Flx","728","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andrew Bogut","(N/A)","C,Flx","729","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tim Bond","HOU","SG,G,Flx","730","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trevor Booker","(N/A)","PF,F,C,Flx","731","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ryan Bowen","OKC","SF,F,Flx","732","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ronnie Brewer","(N/A)","SG,G,SF,F,Flx","733","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Amida Brimah","(N/A)","C,Flx","734","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Armoni Brooks","(N/A)","PG,G,Flx","735","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alec Brown","(N/A)","C,Flx","736","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bobby Brown","(N/A)","PG,SG,G,Flx","737","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bryce Brown","(N/A)","PG,G,Flx","738","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jabari Brown","MIL","SG,G,Flx","739","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shannon Brown","(N/A)","SG,G,Flx","740","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Justin Brownlee","(N/A)","PF,F,Flx","741","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nicolas Brussino","ATL","SG,G,SF,F,Flx","742","FA","@MIA Tue 8:00PM","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dwight Buycks","(N/A)","PG,G,Flx","743","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Justin Cage","CHI","SF,PF,F,Flx","744","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nik Caner-Medley","SAC","SF,PF,F,Flx","745","FA","","1.00","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
